B04	B03	B28	B29	B05	B07	B06	B08	B13	B09	B10	B12	B23	B16	B02	B19	B20	B21	B22	B14	B24	B25	B26	B27
書目識別號(不得修改)	書名	並列題名	分類號類型	分類號	作者	作者號	版本	語言別	出版地	出版社	出版年	裝訂別	價格	ISBN	面寬數	高寬	圖表	附件	稽核項	集叢項	附註項	主題項	追尋項
B01	B04	B03	B53	B54	B55	B56	B57	B58	B52	B59	B60	B61	B62	B63
館藏登錄號(不得重複)	書目識別號	書名(不得修改)	館藏狀態	流通別	資料別	特藏號	冊次號	複本號	排架號	館藏地	來源別	捐贈者	附件	新增日期
00000298	000293	用愛心說實話	館內架上		一般圖書			C6		"本館藏書	"				91-05-10
00000299	000293	用愛心說實話	館內架上		一般圖書			C7		"本館藏書	"				91-05-10
00000300	000293	用愛心說實話	館內架上		一般圖書			C8		"本館藏書	"				91-05-10
00000301	000293	用愛心說實話	館內架上		一般圖書			C9		"本館藏書	"				91-05-10
00000302	000293	用愛心說實話	館內架上		一般圖書			C10		"本館藏書	"				91-05-10
00000303	000293	用愛心說實話	館內架上		一般圖書			C11		"本館藏書	"				91-05-10
00000304	000293	用愛心說實話	館內架上		一般圖書			C12		"本館藏書	"				91-05-10
00000305	000293	用愛心說實話	館內架上		一般圖書			C13		"本館藏書	"				91-05-10
00000306	000293	用愛心說實話	館內架上		一般圖書			C14		"本館藏書	"				91-05-10
00000307	000293	用愛心說實話	館內架上		一般圖書			C15		"本館藏書	"				91-05-10
00000308	000293	用愛心說實話	館內架上		一般圖書			C16		"本館藏書	"				91-05-10
00000309	000293	用愛心說實話	館內架上		一般圖書			C17		"本館藏書	"				91-05-10
00000310	000293	用愛心說實話	館內架上		一般圖書			C18		"本館藏書	"				91-05-10
00000311	000294	陽光下的播種者	報廢		一般圖書			c1		"本館藏書	"				91-05-14
00000312	000295	陽光下的播種者	報廢		一般圖書			c2		"本館藏書	"				91-05-14
00000313	000296	虎尾溪傳奇	報廢		一般圖書			c1		"本館藏書	"				91-05-14
00000314	000297	虎尾溪傳奇	報廢		一般圖書			c2		"本館藏書	"				91-05-14
00000315	000298	台灣風景詩篇	報廢		一般圖書			c1		"本館藏書	"				91-05-14
00000316	000299	台灣風景詩篇	報廢		一般圖書			c2		"本館藏書	"				91-05-14
00000317	000300	北投風情畫	報廢		一般圖書			c1		"本館藏書	"				91-05-14
00000318	000301	北投風情畫	報廢		一般圖書			c2		"本館藏書	"				91-05-14
00000319	000302	外婆的秘密花園	報廢		一般圖書			c1		"本館藏書	"				91-05-14
00000320	000303	外婆的秘密花園	報廢		一般圖書			c2		"本館藏書	"				91-05-14
00000321	000304	賴和與八掛山	報廢		一般圖書			c1		"本館藏書	"				91-05-14
00000322	000305	賴和與八掛山	報廢		一般圖書			c2		"本館藏書	"				91-05-14
00000323	000306	漢寶村	報廢		一般圖書			c1		"本館藏書	"				91-05-14
00000324	000307	漢寶村	報廢		一般圖書			c2		"本館藏書	"				91-05-14
00000325	000308	聽故事遊下營	報廢		一般圖書			c1		"本館藏書	"				91-05-14
00000326	000309	聽故事遊下營	報廢		一般圖書			c2		"本館藏書	"				91-05-14
